"name","run.no.in.std.order","run.no","run.no.std.rp","sizea","sizeb","temp","Blocks"
"1038","88",1038,"88.9","8","6","tt",".9"
"1039","71",1039,"71.9","7","2","tt",".9"
"1040","65",1040,"65.9","5","1","tt",".9"
"1041","78",1041,"78.9","6","4","tt",".9"
"1043","106",1043,"106.9","6","11","tt",".9"
"1044","74",1044,"74.9","6","3","tt",".9"
"1046","79",1046,"79.9","7","4","tt",".9"
"1047","75",1047,"75.9","7","3","tt",".9"
"1048","109",1048,"109.9","5","12","tt",".9"
"1049","110",1049,"110.9","6","12","tt",".9"
"1053","102",1053,"102.9","6","10","tt",".9"
"1054","64",1054,"64.9","8","0","tt",".9"
"1057","86",1057,"86.9","6","6","tt",".9"
"1059","87",1059,"87.9","7","6","tt",".9"
"1060","113",1060,"113.9","5","13","tt",".9"
"1065","119",1065,"119.9","7","14","tt",".9"
"1066","63",1066,"63.9","7","0","tt",".9"
"1068","94",1068,"94.9","6","8","tt",".9"
"1069","105",1069,"105.9","5","11","tt",".9"
"1070","115",1070,"115.9","7","13","tt",".9"
"1071","97",1071,"97.9","5","9","tt",".9"
"1072","61",1072,"61.9","5","0","tt",".9"
"1073","111",1073,"111.9","7","12","tt",".9"
"1074","107",1074,"107.9","7","11","tt",".9"
"1079","73",1079,"73.9","5","3","tt",".9"
"1081","99",1081,"99.10","7","9","tt",".10"
"1083","67",1083,"67.10","7","1","tt",".10"
"1084","65",1084,"65.10","5","1","tt",".10"
"1085","102",1085,"102.10","6","10","tt",".10"
"1087","74",1087,"74.10","6","3","tt",".10"
"1090","108",1090,"108.10","8","11","tt",".10"
"1091","93",1091,"93.10","5","8","tt",".10"
"1093","87",1093,"87.10","7","6","tt",".10"
"1094","101",1094,"101.10","5","10","tt",".10"
"1097","79",1097,"79.10","7","4","tt",".10"
"1098","113",1098,"113.10","5","13","tt",".10"
"1101","89",1101,"89.10","5","7","tt",".10"
"1103","106",1103,"106.10","6","11","tt",".10"
"1106","86",1106,"86.10","6","6","tt",".10"
"1107","118",1107,"118.10","6","14","tt",".10"
"1108","71",1108,"71.10","7","2","tt",".10"
"1109","66",1109,"66.10","6","1","tt",".10"
"1112","104",1112,"104.10","8","10","tt",".10"
"1116","84",1116,"84.10","8","5","tt",".10"
"1117","112",1117,"112.10","8","12","tt",".10"
"1118","70",1118,"70.10","6","2","tt",".10"
"1119","97",1119,"97.10","5","9","tt",".10"
"1122","119",1122,"119.10","7","14","tt",".10"
"1123","64",1123,"64.10","8","0","tt",".10"
"1127","109",1127,"109.10","5","12","tt",".10"
