"sizea","temp","Blocks","cyca","l3ra","l3ma","cycb","l3rb","l3mb"
65536,16,tt,4726681071,252194608,235383723,8513,308,289
6144,16,nt,18989979040,1298,947,8654,338,286
524288,16,nt,6382881212,489470,82535,8997,308,296
5120,16,nt,23663234774,1351,988,9291,325,292
524288,16,tt,4983099821,252193571,252185372,10183,312,292
131072,16,tt,4962242309,252191316,250043193,8409,316,291
131072,16,nt,6408983786,116016,9100,8874,306,292
16384,16,tt,4889261982,371679367,206579868,8478,306,291
3072,16,tt,4915257488,1031259242,257111,7144,312,289
5120,16,tt,4594067171,913894378,12567714,7492,313,290
7168,16,nt,15187477988,806,482,9836,311,292
4096,16,tt,4880954604,1023252468,337556,7567,306,281
4096,16,nt,26585667812,550,229,8346,309,288
8192,16,tt,4061194459,577195600,80227198,9086,323,287
32768,16,tt,4900096228,290527941,234165723,9333,309,292
32768,16,nt,7454851420,3765,2506,7657,305,282
65536,16,nt,6435139029,9304,2535,8390,304,283
262144,16,nt,6392986720,481044,20105,9204,306,290
16384,16,nt,9562027692,838,223,8456,309,289
7168,16,tt,3529625492,591001664,43100414,9120,307,284
2048,16,tt,4990302950,1047364579,160447,7178,314,289
3072,16,tt,4914835874,1031259266,234386,8433,307,290
5120,16,nt,23460897997,919,397,8627,312,290
8192,16,tt,3919785145,577195417,72331799,7748,317,289
262144,16,nt,6392961309,480698,11928,8904,310,292
6144,16,tt,3943151512,740307452,25253345,8001,312,290
3072,16,nt,26988340387,446,216,8955,308,289
65536,16,nt,6434387806,4903,284,8707,312,287
7168,16,tt,3494388957,591001534,40953696,8769,321,290
524288,16,nt,6382275227,490721,68167,8223,305,284
5120,16,tt,5371235899,913896907,65154968,7928,318,291
131072,16,tt,4968121601,252191587,250088226,10632,321,288
2048,16,tt,4990218322,1047364531,155650,9696,301,286
65536,16,tt,4729629888,252193239,235316625,8818,306,288
